"","lon","lat","address","zip","city","state","x2020_01","quartile","state_name","region","division"
"661",-89.8338183,35.2039774,"6899 stage rd, memphis, tn 38133, usa","38133","Bartlett","TN",178456,"q3","Tennessee","South","East South Central"
"662",-121.3180601,37.9912627,"943 w march ln, stockton, ca 95207, usa","95207","Stockton","CA",297625,"q4","California","West","Pacific"
"663",-111.7276965,33.6101268,"13757 n fountain hills blvd, fountain hills, az 85268, usa","85268","Fountain Hills","AZ",435250,"q4","Arizona","West","Mountain"
"664",-119.8062912,36.7757374,"fresno, ca 93704, usa","93704","Fresno","CA",252378,"q3","California","West","Pacific"
"665",-122.2960864,47.3930348,"pacific hwy s, kent, wa 98032, usa","98032","Kent","WA",381973,"q4","Washington","West","Pacific"
"666",-80.5501753,35.8694081,"1388 hwy 601 s, mocksville, nc 27028, usa","27028","Mocksville","NC",164222,"q3","North Carolina","South","South Atlantic"
"667",-80.2020728,26.1669569,"3282 n state rd 7, lauderdale lakes, fl 33319, usa","33319","Lauderhill","FL",136574,"q2","Florida","South","South Atlantic"
"668",-86.9455394,34.4485561,"709 us-31, hartselle, al 35640, usa","35640","Hartselle","AL",140740,"q2","Alabama","South","East South Central"
"669",-77.4992237,38.2937413,"2336 plank rd, fredericksburg, va 22401, usa","22401","Fredericksburg","VA",331623,"q4","Virginia","South","South Atlantic"
"670",-80.868632,35.5733718,"williamson rd, davidson, nc 28117, usa","28117","Mooresville","NC",394907,"q4","North Carolina","South","South Atlantic"
