"","X","lon","lat","X.1","zip","city","state","metro","county_name","x2020_01","quartile","rating","address","region"
"128",128,-83.0102457,40.0142336,NA,"92395","Victorville","CA","Riverside-San Bernardino-Ontario","San Bernardino County",254102,"q3",3,"14580 7th st, victorville, ca 92395, usa","West"
"129",129,-121.2914867,38.6550528,NA,"30076","Roswell","GA","Atlanta-Sandy Springs-Roswell","Fulton County",373172,"q4",3,"10779 alpharetta hwy, roswell, ga 30076, usa","South"
"130",130,-77.7351237,39.6229169,NA,"94608","Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",742323,"q4",3,"6624 san pablo ave store 6624, oakland, ca 94608, usa","West"
"131",131,-85.9159551,41.7049055,NA,"91303","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",549441,"q4",3,"7107 owensmouth ave, canoga park, ca 91303, usa","West"
"132",132,-122.4371933,47.1212119,NA,"28147","Salisbury","NC","Charlotte-Concord-Gastonia","Rowan County",177804,"q3",3,"836 jake alexander blvd w, salisbury, nc 28147, usa","South"
"133",133,-92.0934136,30.2341782,NA,"83709","Boise","ID","Boise City","Ada County",319838,"q4",3,"s vinnell way, boise, id 83709, usa","West"
"134",134,-121.3009039,44.1042896,NA,"66801","Emporia","KS","Emporia","Lyon County",108258,"q2",3,"e 12th ave, emporia, ks 66801, usa","Midwest"
"135",135,-71.1019808,42.3641548,NA,"29466","Mount Pleasant","SC","Charleston-North Charleston","Charleston County",437217,"q4",3,"1141 6 mile rd, mt pleasant, sc 29466, usa","South"
"136",136,-119.0407648,34.2191752,NA,"27406","Greensboro","NC","Greensboro-High Point","Guilford County",135032,"q2",3,"1235 s eugene st, greensboro, nc 27406, usa","South"
"137",137,-80.0731364,35.8703008,NA,"92563","Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",449065,"q4",3,"39400 murrieta hot springs rd, murrieta, ca 92563, usa","West"
"138",138,-81.7646026,40.8521284,NA,"98373","Puyallup","WA","Seattle-Tacoma-Bellevue","Pierce County",386028,"q4",3,"12915 meridian e, puyallup, wa 98373, usa","West"
"139",139,-106.6727149,35.1728954,NA,"19355","Malvern","PA","Philadelphia-Camden-Wilmington","Chester County",504609,"q4",3,"235 lancaster ave, malvern, pa 19355, usa","Northeast"
"140",140,-122.2889538,47.8199056,NA,"60510","Batavia","IL","Chicago-Naperville-Elgin","Kane County",297161,"q4",3,"450 n randall rd, batavia, il 60510, usa","Midwest"
"141",141,-91.9443229,38.8691466,NA,"46805","Fort Wayne","IN","Fort Wayne","Allen County",105385,"q1",3,"4122 lima rd store 4122, fort wayne, in 46805, usa","Midwest"
