"","lon","lat","address","zip","city","state","metro","county_name","x2020_01"
"4008",-122.3784941,37.5989588,"1801 adrian rd, burlingame, ca 94010, usa","94010","Burlingame","CA","San Francisco-Oakland-Hayward","San Mateo County",2632643
"4009",-110.9644429,32.3920642,"10195 n oracle rd #111, oro valley, az 85704, usa","85704","Tucson","AZ","Tucson","Pima County",305829
"4010",-82.35769,43.0003589,"1307 michigan ave, sarnia, on n7s 4m6, canada","canada",NA,NA,NA,NA,NA
"4011",-77.3436536,37.6098263,"7147 brandy run dr, mechanicsville, va 23111, usa","23111","Mechanicsville","VA","Richmond","Hanover County",256920
"4012",-81.6410521,38.3532486,"209 virginia st e, charleston, wv 25301, usa","25301","Charleston","WV","Charleston","Kanawha County",127147
"4013",-83.6154283,41.6149591,"3022 glendale ave, toledo, oh 43614, usa","43614","Toledo","OH","Toledo","Lucas County",129732
"4014",-83.9908002,35.9386696,"5307 kingston pike, knoxville, tn 37919, usa","37919","Knoxville","TN","Knoxville","Knox County",304512
"4015",-80.4310797,25.7111083,"sw 147th ave, florida, usa","florida",NA,NA,NA,NA,NA
"4016",-117.8593941,33.6085441,"3233 pacific view dr, corona del mar, ca 92625, usa","92625","Newport Beach","CA","Los Angeles-Long Beach-Anaheim","Orange County",2301155
"4017",-122.7064751,38.4442341,"1033 4th st, santa rosa, ca 95404, usa","95404","Santa Rosa","CA","Santa Rosa","Sonoma County",647775
"4018",-79.8953052,37.0098409,"1045 n main st, rocky mount, va 24151, usa","24151","Rocky Mount","VA","Roanoke","Franklin County",160191
